ratio,hash_join,inlj_btree1024,inlj_btree256,inlj_btree4096,inlj_flatpgm1024,inlj_flatpgm256,inlj_flatpgm4096,inlj_pgm1024,inlj_pgm256,inlj_pgm4096,inlj_sampledflatpgm1024,inlj_sampledflatpgm256,inlj_sampledflatpgm4096,lsj_btree1024,lsj_btree256,lsj_btree4096,lsj_flatpgm1024,lsj_flatpgm256,lsj_flatpgm4096,lsj_pgm1024,lsj_pgm256,lsj_pgm4096,lsj_sampledflatpgm1024,lsj_sampledflatpgm256,lsj_sampledflatpgm4096,sort_join
1,92.803385993,54.454780186,53.067201834,53.18611735,36.694180351,35.735968323,36.860210161,38.800282869,39.427941281,42.717257492,39.386362943,39.077774784,37.738168347,49.462818772,47.774045383,48.104614378,28.265466588,25.976549781,30.195188012,31.165739751,32.369929988,36.605862466,29.109658455,27.388704694,31.556394667,15.907269628
10,49.446850036,6.049073957,6.178218379,5.81914566,5.253615921,4.782187027,5.570609017,5.297466052,4.912952228,5.850861355,5.623031516,5.984619565,5.40594299,6.081612791,6.495105103,6.269327192,4.108070478,4.075511284,4.621864729,4.436041184,4.987520118,5.273251197,3.999291609,3.827594025,4.614039806,4.825520345
100,37.227180971,1.130245323,1.664028353,1.093045447,1.593616068,1.418238216,1.833961505,1.199611243,1.084884217,1.41376832,1.396685829,1.619189829,1.536951584,1.097516088,1.634212708,1.510024467,1.137768692,1.19943701,0.892550495,0.928397142,0.960021648,1.284477785,0.857476163,0.911438348,0.882035885,3.364797304
1000,14.757411439,0.398953331,0.259720852,0.510788738,0.485741925,0.346613196,0.775226364,0.491206983,0.352089602,0.787943392,0.427322051,0.377439004,0.645554136,0.40082296,0.315716228,0.618737453,0.460543808,0.285340714,0.468080585,0.406372067,0.356856326,0.572332061,0.401033648,0.309894848,0.57228645,3.176951945
