ratio,hash_join,inlj_btree1024,inlj_btree256,inlj_btree4096,inlj_flatpgm1024,inlj_flatpgm256,inlj_flatpgm4096,inlj_pgm1024,inlj_pgm256,inlj_pgm4096,inlj_sampledflatpgm1024,inlj_sampledflatpgm256,inlj_sampledflatpgm4096,lsj_btree1024,lsj_btree256,lsj_btree4096,lsj_flatpgm1024,lsj_flatpgm256,lsj_flatpgm4096,lsj_pgm1024,lsj_pgm256,lsj_pgm4096,lsj_sampledflatpgm1024,lsj_sampledflatpgm256,lsj_sampledflatpgm4096,sort_join
1,91.594071408,55.068839763,54.251634401,52.642450075,29.172671555,27.484242671,32.922509548,32.894151158,33.305640542,37.297778845,34.070140405,31.50949429,36.831731884,49.287140879,48.218087691,48.4540518,27.160560254,24.873390091,29.567297487,31.035747839,31.149819511,33.292755288,29.083424799,27.162493593,30.776425312,17.354601643
10,50.659645548,6.585124444,6.138937146,5.840396346,4.229368905,3.737744054,5.24206395,4.741700554,4.297023206,6.134476813,6.068160222,5.766261961,7.009173557,5.887685043,6.553459792,5.886518384,4.426708295,4.182600122,4.608929663,4.256476232,4.208748094,4.77919206,4.267458272,4.385090489,4.145133371,4.595661398
100,39.186770824,1.449489756,1.189923112,1.015437911,1.184007391,0.94597413,1.744232292,1.235123021,1.006115529,2.442943484,1.535502163,1.258313421,2.254006289,1.025885035,1.191111882,1.011299986,0.802930298,1.075443634,1.0799346,0.829661653,0.909515767,0.837151013,0.812444866,0.87023951,1.098952871,2.879593392
1000,15.736141523,0.427704818,0.239541012,0.438325153,0.40567401,0.310651348,0.622089746,0.373347993,0.258540448,0.837495128,0.400145981,0.339299717,0.843014285,0.340028167,0.303618833,0.529025518,0.419654027,0.306435145,0.404457672,0.434322019,0.256857162,0.415362653,0.352381889,0.265743309,0.501060586,2.703660454
