ratio,hash_join,inlj_btree1024,inlj_btree256,inlj_btree4096,inlj_flatpgm1024,inlj_flatpgm256,inlj_flatpgm4096,inlj_pgm1024,inlj_pgm256,inlj_pgm4096,inlj_sampledflatpgm1024,inlj_sampledflatpgm256,inlj_sampledflatpgm4096,lsj_btree1024,lsj_btree256,lsj_btree4096,lsj_flatpgm1024,lsj_flatpgm256,lsj_flatpgm4096,lsj_pgm1024,lsj_pgm256,lsj_pgm4096,lsj_sampledflatpgm1024,lsj_sampledflatpgm256,lsj_sampledflatpgm4096,sort_join
1,94.056723128,56.033252107,54.062094736,53.901131809,29.42393136,27.696245993,31.833444952,32.682569014,29.698940816,35.679256637,34.092265247,30.905788271,35.685900947,49.879020767,47.962588159,49.517563534,28.126467584,26.738347761,30.564132307,30.955542594,28.804077362,33.169339991,29.161456831,27.793841437,31.174070946,16.558630276
10,47.26524458,6.414866701,6.727577994,6.607660853,4.082723195,3.720996348,5.03854715,4.791667783,3.945524036,5.019567218,5.635329722,5.58545172,6.696616053,6.585156618,5.999718741,6.012181881,4.123302502,3.541299854,4.5548041,4.095853148,4.087392211,4.567864954,3.981948597,4.347632164,4.211037095,5.026393228
100,37.498558289,1.4625781,1.192461171,1.394547969,1.510040112,0.913871528,1.433929829,1.569406771,0.938082648,1.924672498,1.748598475,1.640410038,2.257272724,1.047576018,1.193658638,1.409809606,0.78918346,1.072241547,1.091609135,0.843884185,0.860061165,0.856567972,1.078724552,0.86041623,1.118884041,2.894746928
1000,14.713410332,0.424037707,0.243950379,0.538436211,0.422446898,0.306580407,0.734381515,0.360370038,0.312992203,0.732858537,0.382800489,0.278286494,0.582766857,0.438339592,0.305124984,0.447121607,0.414492017,0.305723815,0.41434257,0.414431533,0.314354225,0.506078991,0.366350065,0.332130187,0.492296796,2.6951981
