ratio,hash_join,inlj_btree1024,inlj_btree256,inlj_btree4096,inlj_flatpgm1024,inlj_flatpgm256,inlj_flatpgm4096,inlj_pgm1024,inlj_pgm256,inlj_pgm4096,inlj_sampledflatpgm1024,inlj_sampledflatpgm256,inlj_sampledflatpgm4096,lsj_btree1024,lsj_btree256,lsj_btree4096,lsj_flatpgm1024,lsj_flatpgm256,lsj_flatpgm4096,lsj_pgm1024,lsj_pgm256,lsj_pgm4096,lsj_sampledflatpgm1024,lsj_sampledflatpgm256,lsj_sampledflatpgm4096,sort_join
1,394.417244002,220.839597998,220.285747863,224.079986335,144.453673484,138.056128171,149.348300632,170.355876772,166.162270745,175.33504951,155.611260479,154.527523792,158.512082184,198.782158277,200.46325093,206.577359747,112.681916405,103.676759084,120.9985222,144.582285464,138.026979739,155.339616488,113.509446634,109.233589358,123.150450324,65.136807378
10,212.340017873,24.480700384,25.399284576,25.333986164,18.774109469,18.095677858,20.438603309,22.145995848,21.143847989,23.144047316,21.99797754,21.707538353,22.462241281,24.470997719,24.945801931,25.282822405,15.310080397,14.577315778,16.307537712,18.741822861,18.537904555,20.037564988,15.506638714,15.102830255,16.449900561,16.733143334
100,171.108191167,4.603468533,5.232424091,4.304702088,4.711143908,3.990672433,5.432549063,5.385337206,4.587406039,5.817004336,5.864189525,5.397310595,6.752207129,4.546012635,5.169243277,4.305640497,3.147836683,3.353662063,3.344678801,4.036180879,3.889081987,3.717218285,3.272666685,3.855898293,3.295962829,11.268315786
1000,116.305040572,1.696911743,1.203590056,1.832915546,1.476009975,1.027413175,2.609155012,1.502020356,1.057886758,2.322556684,1.547527759,1.140860465,2.383607405,1.799297413,0.917965663,2.133286567,1.626955987,0.98785793,1.979336265,1.71950259,1.055768489,2.072386994,1.735436155,1.38973292,1.97062679,10.997141511
