ratio,hash_join,inlj_btree256,inlj_sampledflatpgm256,lsj_btree256,lsj_sampledflatpgm256,sort_join
1,45.47874755,97.887676015,74.668322279,97.589565386,15.819753475,6.953655813
10,36.989256071,10.261839816,7.928780528,10.252702388,2.012946506,2.423466731
100,21.541253037,1.402840997,1.170874202,1.40717883,0.590322348,1.93969085
1000,10.241978334,0.226471193,0.29982778,0.226775436,0.210897949,1.875907374
