ratio,hash_join,inlj_btree1024,inlj_btree256,inlj_btree4096,inlj_flatpgm1024,inlj_flatpgm256,inlj_flatpgm4096,inlj_pgm1024,inlj_pgm256,inlj_pgm4096,inlj_sampledflatpgm1024,inlj_sampledflatpgm256,inlj_sampledflatpgm4096,lsj_btree1024,lsj_btree256,lsj_btree4096,lsj_flatpgm1024,lsj_flatpgm256,lsj_flatpgm4096,lsj_pgm1024,lsj_pgm256,lsj_pgm4096,lsj_sampledflatpgm1024,lsj_sampledflatpgm256,lsj_sampledflatpgm4096,sort_join
1,37.334655071,22.996425785,23.540609841,21.834448786,14.622423826,13.750012813,15.443945895,15.998415014,15.039790612,16.979242749,16.447395764,15.234306726,17.307898657,20.547358833,20.846256307,19.928272403,12.601080651,11.690899633,13.896093338,13.968239795,13.718574099,15.630616544,13.001416437,12.475901501,14.032696953,6.96919316
10,22.695846609,5.454601884,5.059675839,4.80244825,3.527932141,3.788519894,3.783416726,3.834758346,3.50550032,4.059837048,4.215258716,4.056870352,4.318297514,4.782397638,4.941910943,4.678248305,3.158138224,3.507018031,3.437761481,3.549317913,3.42026299,3.804959856,3.232015272,3.153455065,3.278784321,2.795610823
100,16.403791169,0.822399544,0.875864194,0.80801743,0.812739319,0.71799995,0.932597802,0.840494206,1.013104537,0.964979005,1.003367644,0.93193816,1.062198851,0.80566276,0.882262023,0.806055298,0.808706217,0.615756778,0.6405046,0.897736751,0.658491593,0.688597602,0.625782181,0.634182169,0.649068239,1.422260544
1000,6.730157912,0.27609457,0.222479731,0.29230107,0.288933791,0.222146126,0.400498003,0.293112405,0.223985215,0.40446817,0.316107392,0.306664607,0.424064768,0.27510979,0.222210225,0.353140864,0.258626392,0.216568069,0.27014044,0.258775968,0.224959945,0.275744817,0.258993235,0.241131164,0.27374202,1.24527984
