ratio,hash_join,inlj_btree1024,inlj_btree256,inlj_btree4096,inlj_flatpgm1024,inlj_flatpgm256,inlj_flatpgm4096,inlj_pgm1024,inlj_pgm256,inlj_pgm4096,inlj_sampledflatpgm1024,inlj_sampledflatpgm256,inlj_sampledflatpgm4096,lsj_btree1024,lsj_btree256,lsj_btree4096,lsj_flatpgm1024,lsj_flatpgm256,lsj_flatpgm4096,lsj_pgm1024,lsj_pgm256,lsj_pgm4096,lsj_sampledflatpgm1024,lsj_sampledflatpgm256,lsj_sampledflatpgm4096,sort_join
1,91.047513638,55.245916608,52.301701517,53.443361539,34.293824556,32.802447544,35.219506788,36.347464309,36.662256029,37.75501901,35.154201886,32.72101262,36.07436288,49.64085708,48.577114989,49.570202083,28.813168482,26.616213302,31.194590772,30.270577945,30.644658393,32.453472881,29.252197561,28.167183777,31.036757506,17.22276827
10,49.506231184,6.570871511,5.985691723,6.335805952,4.565167839,4.369059393,4.766490689,5.260597848,4.70163968,5.537721819,4.952161114,5.214795482,5.277086616,6.40914121,6.052253741,6.423515807,4.269516964,3.820222812,4.116093775,4.209525604,4.321585122,4.513710207,4.098956966,4.297209989,4.184645922,4.800494892
100,38.401967316,1.071654863,1.207014047,1.442828172,1.108373169,0.969279309,1.264624324,1.513844624,1.012684489,1.740371282,1.256753534,1.236353931,1.731077158,1.451580274,1.198434205,1.042732933,0.833674213,1.12300951,1.129580068,1.14215702,1.229084462,1.179204189,0.843668273,1.201762359,0.87165561,3.490063369
1000,14.258768248,0.376209543,0.252391079,0.488717452,0.372510512,0.32252978,0.54983134,0.372604937,0.272612923,0.547028809,0.395775257,0.359669315,0.564094236,0.367294424,0.254786851,0.557657871,0.356858183,0.322005224,0.51119396,0.431931276,0.268369964,0.522076753,0.454617997,0.286659288,0.530704998,2.7318983
