ratio,hash_join,inlj_btree1024,inlj_btree256,inlj_btree4096,inlj_flatpgm1024,inlj_flatpgm256,inlj_flatpgm4096,inlj_pgm1024,inlj_pgm256,inlj_pgm4096,inlj_sampledflatpgm1024,inlj_sampledflatpgm256,inlj_sampledflatpgm4096,lsj_btree1024,lsj_btree256,lsj_btree4096,lsj_flatpgm1024,lsj_flatpgm256,lsj_flatpgm4096,lsj_pgm1024,lsj_pgm256,lsj_pgm4096,lsj_sampledflatpgm1024,lsj_sampledflatpgm256,lsj_sampledflatpgm4096,sort_join
1,398.25116147,220.607991305,220.221971777,222.726587033,138.77051432,135.357829279,141.357812601,160.410121067,155.472266504,156.799033246,142.122431036,141.599183269,141.953985247,199.134223455,196.788203126,206.710678228,112.785227963,104.705014363,122.384293813,133.487041485,125.694422754,136.406401819,114.073335913,109.378172136,123.05316234,65.104509483
10,208.08706775299999,24.648594054,24.477424749,25.605077643,18.547787577,17.705865615,19.471097409,20.416731912,19.432855117,20.635646464,20.311095826,21.059565675,20.252488597,23.281847609,24.28078411,24.735377237,15.653461567,15.159822246,16.649312079,17.932263837,17.32248331,17.786675116,15.504763593,15.101460258,16.267418177,17.822567125
100,165.030207546,4.20740938,4.772313578,4.202466274,4.375194758,3.843941592,5.455008781,5.024034738,4.422833513,5.764165969,5.130841226,5.231396339,5.925539171,4.522402735,5.06724989,4.24809703,3.609990183,3.714431501,3.259145291,3.492654003,3.989568551,3.470329497,3.247601845,3.458303541,3.672751429,11.729988824
1000,105.147476434,1.680532217,1.214798829,2.084252968,1.414110504,1.270190474,2.206439826,1.429927546,1.274828769,2.603388664,1.542952005,1.077513476,2.221547995,1.387975893,1.0647938125,1.748720153,1.339307541,1.214564176,1.938673951,1.680527624,1.031986488,1.671175488,1.657112529,1.326398968,1.936951755,11.361769461
