ratio,hash_join,inlj_btree1024,inlj_btree256,inlj_btree4096,inlj_flatpgm1024,inlj_flatpgm256,inlj_flatpgm4096,inlj_pgm1024,inlj_pgm256,inlj_pgm4096,inlj_sampledflatpgm1024,inlj_sampledflatpgm256,inlj_sampledflatpgm4096,lsj_btree1024,lsj_btree256,lsj_btree4096,lsj_flatpgm1024,lsj_flatpgm256,lsj_flatpgm4096,lsj_pgm1024,lsj_pgm256,lsj_pgm4096,lsj_sampledflatpgm1024,lsj_sampledflatpgm256,lsj_sampledflatpgm4096,sort_join
1,91.995295271,54.11637514,52.255047648,52.61458248,25.809003055,25.117644503,27.749483976,27.14833798,25.001485173,28.410639556,32.456350161,26.240620035,32.891040011,48.350983713,47.124268397,48.138808376,29.190825654,26.093485886,31.338986288,28.597165429,26.800757794,31.25402618,29.111039992,27.678275553,31.941955323,16.466502497
10,50.385091061,6.134359162,6.466811684,5.980901594,3.34228358,3.143860506,3.853740958,3.864290076,3.425246203,3.514408601,4.916617707,4.481353088,4.425350409,5.920302808,6.497088485,5.90237768,4.268417328,3.862628094,4.749561597,4.029904296,4.253037624,4.338650893,4.12463064,4.049415346,4.281287564,4.696146898
100,37.44909241,1.477691008,1.223724685,1.464369749,0.879404656,1.032682597,0.956023816,1.12980358,1.029831227,0.961834481,1.416473555,1.063534049,1.074320242,1.046473851,1.187740752,1.431279793,1.078101798,0.799342038,1.142698692,0.815129061,1.072695484,0.874763724,0.865078978,0.917765193,0.888224069,2.935964773
1000,14.51317081,0.465102132,0.25867938,0.462839508,0.396898249,0.303042272,0.464267081,0.401361473,0.294243276,0.566963983,0.381778426,0.340729602,0.484529771,0.444809322,0.247661449,0.471810782,0.332190147,0.259094979,0.514890389,0.331285944,0.294855158,0.433148883,0.365069289,0.287761765,0.451384849,2.729531621
