ratio,learned_merge_btree256,learned_merge_flatpgm256,standard_merge
1,45.290012629,22.423782171,13.45122833
10,7.816759403,6.002131386,7.573997266
100,3.572056602,3.479896679,6.680839341
1000,3.509545899,3.091030114,6.522583524
