ratio,learned_merge_btree256,learned_merge_flatpgm256,standard_merge
1,200.859988466,105.302105221,57.213535606
10,35.251807714,26.043406365,32.762531725
100,16.714618116,16.012587172,29.002508933
1000,14.475696593,14.340541209,28.85599902
