ratio,learned_merge_btree256,learned_merge_flatpgm256,standard_merge
1,46.251985097,24.184499047,13.079334458
10,7.6644716,5.729398078,7.550282352
100,3.82207035,3.723180543,6.605485213
1000,2.921362533,3.236494551,6.81795815
