ratio,learned_merge_btree256,learned_merge_flatpgm256,standard_merge
1,47.797990373,25.928651617,14.779435124
10,8.78143262,6.519260863,8.334127488
100,4.549786878,3.988889209,7.131251861
1000,3.68878107,4.095492142,7.345225068
