ratio,learned_merge_btree256,learned_merge_flatpgm256,standard_merge
1,46.0569713,24.018945054,13.084746788
10,7.831950865,5.952748214,7.662039504
100,3.930231979,3.327480108,7.076973133
1000,2.980957283,3.15391037,6.449812728
