ratio,learned_merge_btree256,learned_merge_flatpgm256,standard_merge
1,20.072540274,10.840252088,6.206495731
10,5.396248082,3.729803855,4.198997836
100,1.951792352,1.693053668,2.996074954
1000,1.471158213,1.415024385,2.917551842
