ratio,learned_merge_btree256,learned_merge_flatpgm256,standard_merge
1,45.520290135,24.064288826,13.420485329
10,7.506567107,5.652975506,7.553299794
100,4.071881578,3.827839886,7.084771789
1000,3.250792827,3.247757359,6.330465063
