ratio,learned_merge_btree256,learned_merge_flatpgm256,standard_merge
1,201.300594431,105.236068394,58.178116693
10,36.017935578,26.413890982,33.180606186
100,16.920377259,15.316816087,29.325864503
1000,14.398344233,14.280191829,28.653960414
