ratio,learned_merge_btree256,learned_merge_sampledflatpgm256,standard_merge
1,225.300017049,98.245103401,51.629462384
10,35.988979239,22.495439832,28.6029304835
100,13.976508712,12.42315181,25.654247677
1000,11.661361009,11.262971807,25.007869388
