ratio,learned_merge_btree256,learned_merge_sampledflatpgm256,standard_merge
1,54.389201686,24.05535112,12.942572496
10,8.753011659,5.828777056,7.435069298
100,3.840491181,3.378283388,6.735534305
1000,3.265584114,3.189829256,6.647478167
