ratio,learned_merge_btree256,learned_merge_sampledflatpgm256,standard_merge
1,23.827476423,10.851329444,6.13295195
10,6.003269313,3.479737033,3.990580509
100,1.827955497,1.498334318,3.289609261
1000,1.65800528,1.249172094,3.291058032
