ratio,hash_join,inlj_btree256,inlj_pgm256,lsj_btree256,lsj_flatpgm256,sort_join
1,3199999984.0,3199999984.0,8586481472.0,3199999984.0,3199999984.0,3199999984.0
10,3199999984.0,3199999984.0,7968675600.0,3199999984.0,3198576112.0,3199999984.0
100,3199999984.0,2952732656.0,4386897280.0,2952732656.0,3009723728.0,3199999984.0
1000,3199999984.0,722391040.0,1195606016.0,722391040.0,1182605312.0,3199934464.0
