ratio,hash_join,inlj_btree256,inlj_pgm256,lsj_btree256,lsj_flatpgm256,sort_join
1,3200000000.0,3200000000.0,8725605568.0,3200000000.0,3200000000.0,3200000000.0
10,3200000000.0,3200000000.0,8221691424.0,3200000000.0,3199547296.0,3200000000.0
100,3200000000.0,2953175040.0,4358389760.0,2953175040.0,3014459392.0,3200000000.0
1000,3200000000.0,722796544.0,1189208064.0,722796544.0,1177657344.0,3199987712.0
