ratio,hash_join,inlj_btree256,inlj_pgm256,lsj_btree256,lsj_flatpgm256,sort_join
1,32.578296057,23.270138246,14.453964027,22.860397001,12.128018923,11.324559743
10,24.205699431,4.822314091,3.162925247,4.74616027,2.529570289,4.194891264
100,20.306183751,0.869956168,0.698924058,0.867694138,0.503725207,2.513818893
1000,8.994533689,0.208225811,0.180925009,0.208635864,0.173008698,2.319318307
