ratio,hash_join,inlj_btree256,inlj_pgm256,lsj_btree256,lsj_flatpgm256,sort_join
1,,307.938682347,239.477800546,306.04184411,196.079051152,191.227261265
10,270.793999569,26.320337553,19.397566259,25.406239994,13.395371725,31.216253023
100,195.98412918,5.559967887,4.499500392,5.956839124,3.412530962,22.1192036
1000,149.108540163,72.161863634,1.052070789,1.248693006,60.339386489,20.924745198
