ratio,hash_join,inlj_btree256,inlj_pgm256,lsj_btree256,lsj_flatpgm256,sort_join
1,,312.395640553,230.62783536,307.0339226,197.721628248,196.546935443
10,270.211065583,25.979196246,18.239296477,25.582047588,13.961932836,31.377670147
100,196.48345493,5.725865118,4.330419708,5.772815513,3.765012105,29.208962689
1000,148.763577961,60.483649022,1.272723343,1.110182738,1.118546587,21.187957905
