,ratio,threads,btree1024,btree2048,btree256,pgm1024,pgm2048,pgm256,standard_merge
0,10,1,6461386184.5,6130658210.0,6534865771.0,4852599375.5,4792579259.0,4927880652.0,7309088579.5
1,10,4,2686472448.5,2697358478.0,2620137823.5,2673423769.5,2607981689.0,2724994314.0,2444435102.0
2,10,16,2692001503.0,2692168635.0,2711488135.0,2704809077.5,2676087936.0,2757335745.5,2684442378.5
3,10,32,2937040646.5,2915230771.5,2927845699.0,2865952045.0,2930199140.0,2982222422.0,2885731246.5
