,ratio,threads,btree1024,btree2048,btree256,pgm1024,pgm2048,pgm256,sj
0,10,1,4463289858.0,4284762680.0,4609405502.0,2723267316.5,2704805365.0,2790620152.0,4633614994.0
1,10,4,1993892740.0,1960814825.5,1825242422.5,1149727442.5,1202223824.5,1169951389.5,2003267609.5
2,10,16,978936518.0,941347615.0,889786912.0,735008291.5,725826775.0,736511760.0,913525699.5
3,10,32,886188709.5,842984547.5,852853966.0,708848159.5,713252136.5,729578672.5,901135838.5
