,ratio,threads,btree1024,btree2048,btree256,pgm1024,pgm2048,pgm256,standard_merge
0,50,1,3513215567.5,3442993345.0,3533459233.0,3172068758.5,3146888177.0,3172934465.0,6572804384.5
1,50,4,2477772813.5,2464377692.0,2510478356.0,2517381826.5,2573633173.0,2582490794.0,2530547354.5
2,50,16,2551736760.0,2511946569.0,2591975671.0,2541149931.5,2500233947.0,2562507158.0,2476275209.5
3,50,32,2709114511.5,2689969079.5,2715077999.0,2756581579.0,2761185708.0,2755741434.5,2723128378.0
