ratio,lsj_sampledflatpgm256,lsj_flatpgm256,lsj_pgm256,lsj_btree256,sort_join
1,23.22943684,22.431855779,27.055334647,42.30091007,11.704229394
10,3.152880224,3.450733937,4.009025009,5.83420661,3.904735388
100,0.98361996,0.940489414,1.313947216,1.571959957,2.99880365
1000,0.385151472,0.243863732,0.343778074,0.319080481,2.560174131
