ratio,hash_join,inlj_btree256,inlj_pgm256,lsj_btree256,lsj_flatpgm256,sort_join
1,92.803385993,53.067201834,39.427941281,47.774045383,25.976549781,15.907269628
10,49.446850036,6.178218379,4.912952228,6.495105103,4.075511284,4.825520345
100,37.227180971,1.664028353,1.084884217,1.634212708,1.19943701,3.364797304
1000,14.757411439,0.259720852,0.352089602,0.315716228,0.285340714,3.176951945
