ratio,hash_join,inlj_btree1024,inlj_btree256,inlj_btree4096,inlj_flatpgm1024,inlj_flatpgm256,inlj_flatpgm4096,inlj_pgm1024,inlj_pgm256,inlj_pgm4096,inlj_sampledflatpgm1024,inlj_sampledflatpgm256,inlj_sampledflatpgm4096,lsj_btree1024,lsj_btree256,lsj_btree4096,lsj_flatpgm1024,lsj_flatpgm256,lsj_flatpgm4096,lsj_pgm1024,lsj_pgm256,lsj_pgm4096,lsj_sampledflatpgm1024,lsj_sampledflatpgm256,lsj_sampledflatpgm4096,sort_join
1,3199999984.0,3199999984.0,3199999984.0,3199999984.0,11738125968.0,8586481472.0,15728457312.0,11738125968.0,8586481472.0,15728457312.0,66034253744.0,70273820496.0,44697462736.0,3199999984.0,3199999984.0,3199999984.0,3199999984.0,3199999984.0,3199999984.0,3199999984.0,3199999984.0,3199999984.0,3199999984.0,3199999984.0,3199999984.0,3199999984.0
10,3199999984.0,3199999984.0,3199999984.0,3199999984.0,11307287680.0,7968675600.0,15454316112.0,11307287680.0,7968675600.0,15454316112.0,21935951792.0,19185301424.0,22142752720.0,3199999984.0,3199999984.0,3199999984.0,3199898256.0,3198576112.0,3199998768.0,3199898256.0,3198576112.0,3199998768.0,3199999984.0,3199999984.0,3199999984.0,3199999984.0
100,3199999984.0,3199950832.0,2952732656.0,3199999984.0,8294627280.0,4386897280.0,13411868496.0,8294627280.0,4386897280.0,13411868496.0,11841023984.0,7498948592.0,16261552096.0,3199950832.0,2952732656.0,3199999984.0,3182931088.0,3009723728.0,3199434208.0,3182931088.0,3009723728.0,3199434208.0,3197085680.0,3164684288.0,3199918064.0,3199999984.0
1000,3199999984.0,2054193152.0,722391040.0,3148349440.0,2457149440.0,1195606016.0,5959802880.0,2457149440.0,1195606016.0,5959802880.0,2766581760.0,1379475456.0,6444998656.0,2054193152.0,722391040.0,3148349440.0,2171760640.0,1182605312.0,3062136832.0,2171760640.0,1182605312.0,3062136832.0,2305925120.0,1327947776.0,3088388096.0,3199934464.0
