ratio,hash_join,inlj_btree1024,inlj_btree256,inlj_btree4096,inlj_flatpgm1024,inlj_flatpgm256,inlj_flatpgm4096,inlj_pgm1024,inlj_pgm256,inlj_pgm4096,inlj_sampledflatpgm1024,inlj_sampledflatpgm256,inlj_sampledflatpgm4096,lsj_btree1024,lsj_btree256,lsj_btree4096,lsj_flatpgm1024,lsj_flatpgm256,lsj_flatpgm4096,lsj_pgm1024,lsj_pgm256,lsj_pgm4096,lsj_sampledflatpgm1024,lsj_sampledflatpgm256,lsj_sampledflatpgm4096,sort_join
1,3200000000.0,3200000000.0,3200000000.0,3200000000.0,8208420304.0,7423205248.0,8639997376.0,8208420304.0,7423205248.0,8639997376.0,10181828608.0,12799971328.0,9208379392.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0
10,3200000000.0,3200000000.0,3200000000.0,3200000000.0,7986703664.0,6802921056.0,8558365856.0,7986703664.0,6802921056.0,8558365856.0,9966194688.0,12235069440.0,9149347840.0,3200000000.0,3200000000.0,3200000000.0,3199852192.0,3198021776.0,3199960864.0,3199852192.0,3198021776.0,3199960864.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0
100,3200000000.0,3199885312.0,2953056256.0,3200000000.0,5813648048.0,3420777424.0,7824659680.0,5813648048.0,3420777424.0,7824659680.0,7595444224.0,6105174016.0,8477124608.0,3199885312.0,2953056256.0,3200000000.0,3156994736.0,2902649808.0,3196429536.0,3156994736.0,2902649808.0,3196429536.0,3194030080.0,3154509824.0,3199553536.0,3200000000.0
1000,3200000000.0,2051031040.0,723181568.0,3148152832.0,2077102080.0,1136623616.0,3953913856.0,2077102080.0,1136623616.0,3953913856.0,2294681600.0,1303764992.0,4203683840.0,2051031040.0,723181568.0,3148152832.0,1997762560.0,1133477888.0,2925727744.0,1997762560.0,1133477888.0,2925727744.0,2137518080.0,1278402560.0,2970501120.0,3199963136.0
