ratio,hash_join,inlj_btree1024,inlj_btree256,inlj_btree4096,inlj_flatpgm1024,inlj_flatpgm256,inlj_flatpgm4096,inlj_pgm1024,inlj_pgm256,inlj_pgm4096,inlj_sampledflatpgm1024,inlj_sampledflatpgm256,inlj_sampledflatpgm4096,lsj_btree1024,lsj_btree256,lsj_btree4096,lsj_flatpgm1024,lsj_flatpgm256,lsj_flatpgm4096,lsj_pgm1024,lsj_pgm256,lsj_pgm4096,lsj_sampledflatpgm1024,lsj_sampledflatpgm256,lsj_sampledflatpgm4096,sort_join
1,12800000000.0,12800000000.0,12800000000.0,12800000000.0,48989556016.0,34880523584.0,71061837312.0,48989556016.0,34880523584.0,71061837312.0,237751910400.0,248899909632.0,252180318208.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0
10,12800000000.0,12800000000.0,12800000000.0,12800000000.0,47148506416.0,32433178624.0,69450204672.0,47148506416.0,32433178624.0,69450204672.0,90007982080.0,77795919872.0,110312007680.0,12800000000.0,12800000000.0,12800000000.0,12799579728.0,12795207264.0,12799970704.0,12799579728.0,12795207264.0,12799970704.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0
100,12800000000.0,12799541248.0,11810160640.0,12800000000.0,34304515232.0,17606819520.0,57955562992.0,34304515232.0,17606819520.0,57955562992.0,49306370048.0,30993860608.0,73461315584.0,12799541248.0,11810160640.0,12800000000.0,12727831920.0,12040979840.0,12795396480.0,12727831920.0,12040979840.0,12795396480.0,12787916800.0,12667811840.0,12799287296.0,12800000000.0
1000,12800000000.0,8200044544.0,2891776000.0,12583403520.0,9875271680.0,4775428096.0,24219930400.0,9875271680.0,4775428096.0,24219930400.0,11147550720.0,5529722880.0,26277558272.0,8200044544.0,2891776000.0,12583403520.0,8681041920.0,4724015104.0,12203286528.0,8681041920.0,4724015104.0,12203286528.0,9225748480.0,5321932800.0,12317343744.0,12799975424.0
