ratio,hash_join,inlj_btree1024,inlj_btree256,inlj_btree4096,inlj_flatpgm1024,inlj_flatpgm256,inlj_flatpgm4096,inlj_pgm1024,inlj_pgm256,inlj_pgm4096,inlj_sampledflatpgm1024,inlj_sampledflatpgm256,inlj_sampledflatpgm4096,lsj_btree1024,lsj_btree256,lsj_btree4096,lsj_flatpgm1024,lsj_flatpgm256,lsj_flatpgm4096,lsj_pgm1024,lsj_pgm256,lsj_pgm4096,lsj_sampledflatpgm1024,lsj_sampledflatpgm256,lsj_sampledflatpgm4096,sort_join
1,12800000000.0,12800000000.0,12800000000.0,12800000000.0,47077147456.0,34552929456.0,61096260736.0,47077147456.0,34552929456.0,61096260736.0,107853959168.0,192629092352.0,83571058688.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0
10,12800000000.0,12800000000.0,12800000000.0,12800000000.0,45633021392.0,32432076224.0,60213786176.0,45633021392.0,32432076224.0,60213786176.0,72755599360.0,76051548160.0,74076108800.0,12800000000.0,12800000000.0,12800000000.0,12799911776.0,12797301600.0,12799998240.0,12799911776.0,12797301600.0,12799998240.0,12800000000.0,12800000000.0,12800000000.0,12800000000.0
100,12800000000.0,12799639552.0,11810623488.0,12800000000.0,34385182720.0,17326430640.0,53200657920.0,34385182720.0,17326430640.0,53200657920.0,47066998784.0,31463612416.0,61719609344.0,12799639552.0,11810623488.0,12800000000.0,12755369696.0,12050069936.0,12798916592.0,12755369696.0,12050069936.0,12798916592.0,12793092096.0,12679905280.0,12799811584.0,12799995904.0
1000,12800000000.0,8207925248.0,2891284480.0,12578422784.0,9786158592.0,4756969152.0,23902808240.0,9786158592.0,4756969152.0,23902808240.0,10995156992.0,5530099712.0,25601970176.0,8207925248.0,2891284480.0,12578422784.0,8689372672.0,4711364288.0,12277675936.0,8689372672.0,4711364288.0,12277675936.0,9222981632.0,5324816384.0,12367808512.0,12799995904.0
