ratio,hash_join,inlj_btree1024,inlj_btree256,inlj_btree4096,inlj_flatpgm1024,inlj_flatpgm256,inlj_flatpgm4096,inlj_pgm1024,inlj_pgm256,inlj_pgm4096,inlj_sampledflatpgm1024,inlj_sampledflatpgm256,inlj_sampledflatpgm4096,lsj_btree1024,lsj_btree256,lsj_btree4096,lsj_flatpgm1024,lsj_flatpgm256,lsj_flatpgm4096,lsj_pgm1024,lsj_pgm256,lsj_pgm4096,lsj_sampledflatpgm1024,lsj_sampledflatpgm256,lsj_sampledflatpgm4096,sort_join
1,3200000000.0,3200000000.0,3200000000.0,3200000000.0,11848514896.0,8725605568.0,14714405120.0,11848514896.0,8725605568.0,14714405120.0,20878514176.0,34219849728.0,18213468160.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0
10,3200000000.0,3200000000.0,3200000000.0,3200000000.0,11488745792.0,8221691424.0,14507385216.0,11488745792.0,8221691424.0,14507385216.0,17510737920.0,18183682048.0,17150375936.0,3200000000.0,3200000000.0,3200000000.0,3199988752.0,3199547296.0,3200000000.0,3199988752.0,3199547296.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0
100,3200000000.0,3199868928.0,2953175040.0,3200000000.0,8649750256.0,4358389760.0,12854665072.0,8649750256.0,4358389760.0,12854665072.0,11655081984.0,7835744256.0,14560716800.0,3199868928.0,2953175040.0,3200000000.0,3188917584.0,3014459392.0,3199719648.0,3188917584.0,3014459392.0,3199719648.0,3198257152.0,3170791424.0,3199944704.0,3200000000.0
1000,3200000000.0,2048000000.0,722796544.0,3148611584.0,2449321952.0,1189208064.0,5802776928.0,2449321952.0,1189208064.0,5802776928.0,2733012992.0,1375911936.0,6163439616.0,2048000000.0,722796544.0,3148611584.0,2175565792.0,1177657344.0,3059870048.0,2175565792.0,1177657344.0,3059870048.0,2303178752.0,1327595520.0,3082153984.0,3199987712.0
