ratio,hash_join,inlj_btree1024,inlj_btree256,inlj_btree4096,inlj_flatpgm1024,inlj_flatpgm256,inlj_flatpgm4096,inlj_pgm1024,inlj_pgm256,inlj_pgm4096,inlj_sampledflatpgm1024,inlj_sampledflatpgm256,inlj_sampledflatpgm4096,lsj_btree1024,lsj_btree256,lsj_btree4096,lsj_flatpgm1024,lsj_flatpgm256,lsj_flatpgm4096,lsj_pgm1024,lsj_pgm256,lsj_pgm4096,lsj_sampledflatpgm1024,lsj_sampledflatpgm256,lsj_sampledflatpgm4096,sort_join
1,1446992176.0,1446992176.0,1446992176.0,1446992176.0,6345685712.0,4016356624.0,8443099376.0,6345685712.0,4016356624.0,8443099376.0,19702774672.0,16678804368.0,20925701616.0,1446992176.0,1446992176.0,1446992176.0,1446992176.0,1446992176.0,1446992176.0,1446992176.0,1446992176.0,1446992176.0,1446992176.0,1446992176.0,1446992176.0,1446992176.0
10,1446992176.0,1446992176.0,1446992176.0,1446992176.0,6192647648.0,3860334736.0,8340448368.0,6192647648.0,3860334736.0,8340448368.0,12186944096.0,9441256336.0,12950052336.0,1446992176.0,1446992176.0,1446992176.0,1446960016.0,1446795872.0,1446990624.0,1446960016.0,1446795872.0,1446990624.0,1446992176.0,1446992176.0,1446992176.0,1446992176.0
100,1446992176.0,1446992176.0,1429408048.0,1446992176.0,5094890144.0,2702581760.0,7522963904.0,5094890144.0,2702581760.0,7522963904.0,8064565856.0,5436815968.0,9709876720.0,1446992176.0,1429408048.0,1446992176.0,1442916848.0,1417191424.0,1446800480.0,1442916848.0,1417191424.0,1446800480.0,1446777136.0,1445253424.0,1446975792.0,1446992176.0
1000,1446992176.0,1255692592.0,612401152.0,1444370736.0,1924218880.0,891947648.0,4230135936.0,1924218880.0,891947648.0,4230135936.0,2295521280.0,1147885872.0,4667743424.0,1255692592.0,612401152.0,1444370736.0,1247580160.0,844073600.0,1428061936.0,1247580160.0,844073600.0,1428061936.0,1296588800.0,973519152.0,1432824112.0,1446989824.0
